,Prompt,,,,Top prompts,,,
The golden bird,And,"And at last he did so, and in a moment the fox was changed into a man, and turned out to be the brother of the princess, who had been lost a great many many years.",,,Then,18,,
Hans in luck,Then,"Then up he got with a light heart, free from all his troubles, and walked on till he reached his mother’s house, and told her how very easy the road to good luck was.",,,And,12,And then,And so
Jorinda and Jorindel,Then,"Then he touched all the other birds with the flower, so that they all took their old forms again; and he took Jorinda home, where they were married, and lived happily together many years: and so did a good many other lads, whose maidens had been forced to sing in the old fairy’s cages by themselves, much longer than they liked.",,,So,7,So saying,
The traveling musicians,After,"After this the robbers never dared to go back to the house; but the musicians were so pleased with their quarters that they took up their abode there; and there they are, I dare say, at this very day.",,,,,,
Old sultan,So,"So they looked up, and espied the wolf sitting amongst the branches; and they called him a cowardly rascal, and would not suffer him to come down till he was heartily ashamed of himself, and had promised to be good friends again with old Sultan.",,,C,6,Character name,
"The straw, the coal, and the bean",C,"The bean thanked him most prettily, but as the tailor used black thread, all beans since then have a black seam.",,,She/He,4,,
Briar rose,And then,"And then the prince and Briar Rose were married, and the wedding feast was given; and they lived happily together all their lives long.",,,Thus,2,,
The dog and the sparrow,C,"And the wife struck; but she missed her aim, and hit her husband on the head so that he fell down dead, and the sparrow flew quietly home to her nest.",,,But,2,,
The twelve dancing princesses,And,"And they were married that very day, and the soldier was chosen to be the king’s heir.",,,,,,
The fisherman and his wife,And,And there they live to this very day.,,,,,,
The willow-wren and the bear,Then,"And now at last the young wrens were satisfied, and sat down together and ate and drank, and made merry till quite late into the night.",,,,,,
The frog-prince,They,"They then took leave of the king, and got into the coach with eight horses, and all set out, full of joy and merriment, for the prince’s kingdom, which they reached safely; and there they lived happily a great many years.",,,,,,
Cat and mouse in partnership,"From this time forth no one invited the cat to be godmother, but when the winter had come","From this time forth no one invited the cat to be godmother, but when the winter had come and there was no longer anything to be found outside, the mouse thought of their provision, and said: ‘Come, cat, we will go to our pot of fat which we have stored up for ourselves—we shall enjoy that.’ ‘Yes,’ answered the cat, ‘you will enjoy it as much as you would enjoy sticking that dainty tongue of yours out of the window.’ They set out on their way, but when they arrived, the pot of fat certainly was still in its place, but it was empty. ‘Alas!’ said the mouse, ‘now I see what has happened, now it comes to light! You are a true friend! You have devoured all when you were standing godmother. First top off, then half-done, then—’ ‘Will you hold your tongue,’ cried the cat, ‘one word more, and I will eat you too.’ ‘All-gone’ was already on the poor mouse’s lips; scarcely had she spoken it before the cat sprang on her, seized her, and swallowed her down. Verily, that is the way of the world.",,,,,,
The goose-girl,And,"And the young king was then married to his true wife, and they reigned over the kingdom in peace and happiness all their lives; and the good fairy came to see them, and restored the faithful Falada to life again.",,,,,,
The adventures of chanticleer and partlet,Thus,"Thus Chanticleer was left alone with his dead Partlet; and having dug a grave for her, he laid her in it, and made a little hillock over her. Then he sat down by the grave, and wept and mourned, till at last he died too; and so all were dead.",,,,,,
Rapunzel,He,"He led her to his kingdom where he was joyfully received, and they lived for a long time afterwards, happy and contented.",,,,,,
Fundevogel,Then,"Then the children went home together, and were heartily delighted, and if they have not died, they are living still.",,,,,,
The valiant little tailor,So,So the little tailor was and remained a king to the end of his life.,,,,,,
Hansel and gretel,"My tale is done,","My tale is done, there runs a mouse; whosoever catches it, may make himself a big fur cap out of it.",,,,,,
"The mouse, the bird, and the sauage",Then,"The bird hastened to fetch some water, but his pail fell into the well, and he after it, and as he was unable to recover himself, he was drowned.
",,,,,,
Mother Holle,"But,","Try what she would, she could not get the pitch off and it stuck to her as long as she lived.",,,,,,
Little Red-cap(Little red riding hood),But,"But Red-Cap went joyously home, and no one ever did anything to harm her again.
",,,,,,
The robber bridegroom,They,"They delivered him up to justice, and he and all his murderous band were condemned to death for their wicked deeds.",,,,,,
Tom Thumb,Two,"So Master Thumb stayed at home with his father and mother, in peace; for though he had been so great a traveller, and had done and seen so many fine things, and was fond enough of telling the whole story, he always agreed that, after all, there’s no place like HOME!
",,,,,,
Rumpelstiltskin,"The guest, however,","The guest, however, thought no otherwise than that he was to give up one of his ears, and ran as if fire were burning under him, in order to take them both with him.",,,,,,
The old man and his grandson,Then,"Then they took the old grandfather to the table, and henceforth always let him eat with them, and likewise said nothing if he did spill a little of anything.",,,,,,
The little peasant,So,"So he jumped in; splash! went the water; it sounded as if he were calling them, and the whole crowd plunged in after him as one man. Then the entire village was dead, and the small peasant, as sole heir, became a rich man.",,,,,,
Frederick and Catherine,So ,"So when Frederick and Catherine came down, there they found all their money safe and sound.",,,,,,
Sweetheart Roland,Then,"Then the faithful maiden held her wedding with her sweetheart Roland, and grief came to an end and joy began.",,,,,,
Snowdrop,C,"Snowdrop and the prince lived and reigned happily over that land many, many years; and sometimes they went up into the mountains, and paid a visit to the little dwarfs, who had been so kind to Snowdrop in her time of need.",,,,,,
The Pink,C,"His son married the beautiful maiden whom he had brought with him as a flower in his pocket, and whether they are still alive or not, is known to God.",,,,,,
Clever Elsie,Then,"Then she ran out of the village, and no one has seen her since.",,,,,,
The mister in the bush,Then,"Then the countryman stopped his fiddle, and left the miser to take his place at the gallows.",,,,,,
Ashputtel,And,"And when the dove had done its song, it came flying, and perched upon her right shoulder, and so went home with her.",,,,,,
The white snake,They,"They cut the Apple of Life in two and ate it together; and then her heart became full of love for him, and they lived in undisturbed happiness to a great age.",,,,,,
The wolf and the seven little kids,When,"When the seven kids saw that, they came running to the spot and cried aloud: ‘The wolf is dead! The wolf is dead!’ and danced for joy round about the well with their mother.
",,,,,,
